Region/Country/Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Panama,9.9,10.9,11.8,12.4,12.8,13,13.5,14.4,15.4,16.1,16.5,16.6,17,17.7,19,20.4,22.1,24.8,26.9,27.3,28.9,32.3,35.3,37.7,39.9,42.2
Paraguay,11.3,11.6,11.8,12.4,13.1,14,14.2,14.8,14.8,14.6,14.3,14.2,14.2,14.8,15.4,15.7,16.4,17.3,18.4,17.7,20,20.9,20.6,23.5,24.7,25.4
Peru,58.5,59.8,59.5,62.6,70.3,75.5,77.6,82.6,82.3,83.5,85.8,86.3,91,94.8,99.5,105.8,113.7,123.4,134.7,136.1,147.5,156.8,166.5,176.2,180.3,186.2
Suriname,..,..,..,..,..,..,..,..,..,..,2.7,2.8,2.9,3.1,3.4,3.5,3.7,3.9,4,4.2,4.4,4.6,4.7,4.9,5,4.9
Trinidad and Tobago,8,8.2,8.1,8,8.2,8.6,9.2,9.9,10.7,11.5,12.4,12.9,13.9,16,17.2,18.3,20.7,21.7,22.4,21.4,22.2,22.1,22.4,23,22.8,22.7
Uruguay,21.4,22.1,23.9,24.5,26.3,25.9,27.4,29.7,31.1,30.5,29.9,28.7,26.5,26.7,28.1,30.2,31.4,33.4,35.8,37.4,40.3,42.4,43.9,45.9,47.4,47.8
Venezuela,235.3,258.2,273.9,274.6,268.2,278.8,278.2,296,296.8,279.1,289.4,299.2,272.7,251.6,297.6,328.3,360.7,392.3,413,399.8,393.8,410.2,433.3,439.1,422,398
Other Non-OECD Americas,29.6,28.6,29,29.5,30.7,31.2,32.4,34,35.1,36.1,34.9,35.6,36.2,37.1,37.9,39,41,42.6,42.8,39.7,40.4,40.3,41.6,41.8,42.7,43.4
Bahrain,8.9,9.9,10.6,11.9,11.9,12.4,12.9,13.3,13.9,14.5,15.3,15.6,16.2,17.2,18.4,19.6,20.9,22.6,24,24.6,25.7,26.2,27.2,28.7,29.9,30.8
Islamic Rep. of Iran,205.5,231.6,239.3,235.8,231.8,237.3,252.4,255.8,261.1,266.4,281.9,288.7,312,338.9,353.6,368.5,389.6,425.1,429,438.9,467.8,485.3,453.3,444.6,463.9,464.1
Iraq,71.3,25.6,34,44.3,46,46.9,52.1,63.2,85.2,100.2,101.6,103.9,96.8,64.7,99.8,104.2,114.8,116.4,125.9,130.2,138.5,149,169.7,180.9,181,186.5
Jordan,8.7,8.8,10.5,11,11.5,12.2,12.5,12.9,13.3,13.8,14.3,15.1,16,16.6,18.1,19.5,21.1,22.8,24.5,25.8,26.4,27.1,27.8,28.6,29.5,30.2
Kuwait,40.7,24,43.8,58.7,63.7,66.8,67.2,68.9,71.4,70.1,73.4,73.9,76.2,89.3,99,108.9,117.1,124.1,127.2,118.2,115.4,126.5,134.9,136.5,137.1,139.7
Lebanon,11.4,15.8,16.5,17.7,19.1,20.3,21.4,20.9,21.6,21.5,21.8,22.7,23.5,24.2,25.6,26.3,26.7,29.2,31.9,35.2,38,38.8,39.6,40,40.7,41.2
Oman,27,28.6,31.1,32.9,34.2,35.9,37,39.2,40.3,40.2,42.4,44.3,43.8,42.7,43.2,44.3,46.7,48.7,52.7,56,58.6,58,63.4,66.2,67.9,71.7
Qatar,18.9,18.6,20.7,20.4,20.7,21.2,22.1,28.8,32,33.4,36,37.4,40.1,41.6,49.6,53.4,67.3,79.4,93.5,104.6,125.1,141.9,148.5,155.1,161.2,167
Saudi Arabia,245.1,267.4,279.8,279.9,281.7,282.3,291.8,299.4,307.9,305.6,320.5,322.2,322.6,347.3,379.5,407,429.7,455.5,493.8,502.9,526.8,579.3,610.5,626.8,649.6,672.2
Syrian Arab Republic ,24.2,26.8,30.3,32.6,34.4,36.2,37.3,36.9,39,37.7,38.6,40,42.4,41.5,44.4,47.2,49.5,52.4,54.7,57.9,59.9,49.9,42.3,32.3,23.7,17
United Arab Emirates,124.1,125.2,129.4,131,140,149.4,158,171,171.5,176.5,195.6,198.4,203.2,221.1,242.2,254,278.9,287.8,297,281.4,286,300.9,321.4,336.6,347,360
Yemen,11.7,12.5,13.5,14,15,15.8,16.6,17.4,18.5,19.2,20.3,21.1,22,22.8,23.7,25,25.8,26.7,27.6,28.7,30.9,27,27.6,29,28.9,20.8
