Region/Country/Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Slovak Republic,51.1,43.7,40.7,41.5,44.1,46.6,49.8,52.8,54.9,54.8,55.5,57.3,59.9,63.2,66.5,71,77,85.3,90.1,85.2,89.5,92,93.5,94.9,97.4,101.1
Slovenia,30.9,28.1,26.6,27.3,28.8,30,31,32.6,33.7,35.5,36.9,38,39.5,40.6,42.4,44.1,46.6,49.8,51.4,47.4,48,48.3,47,46.5,48,49.1
Spain,873.1,895.4,903.7,894.4,915.7,940.9,966.1,1001.8,1044.9,1091.7,1149.5,1195.5,1229.9,1269.1,1309.3,1358.1,1414.7,1468.1,1484.4,1431.4,1431.6,1417.3,1375.7,1352.3,1370.9,1414.9
Sweden,321.1,317.4,313.7,307.2,319.8,332.7,337.7,347.5,362.2,378.6,396.5,402.7,411.1,420.9,439.1,451.4,472.6,488.7,486,460.8,488.4,501.4,500,506.2,519.3,540.6
Switzerland,429,425.1,424.9,424.3,429.7,431.8,434.4,444.4,457.5,465,483.4,490.4,491.1,491.3,505.3,520.7,541.6,564,576.8,564.5,581.2,591.7,597.9,608.5,620.7,625.9
Turkey,364,367.3,389.3,420.6,397.7,426.3,456.1,490.5,505.6,488.5,520.9,489.9,521.4,550.6,603.7,658.1,704.9,740.4,746.6,711.5,771.9,857.7,898.7,975.1,1025.4,1087.6
United Kingdom,1638.9,1620.6,1626.4,1667.2,1732,1775.4,1820.6,1877.6,1937.5,2001.1,2076,2132.6,2183.7,2259.4,2316.5,2385.4,2445.1,2507.6,2491.9,2384,2429.7,2466.3,2498.7,2546.5,2624.7,2682.3
Albania,6.2,4.4,4,4.4,4.8,5.4,5.9,5.3,5.8,6.5,7,7.5,7.8,8.3,8.8,9.3,9.8,10.3,11.1,11.5,11.9,12.2,12.4,12.5,12.8,13.1
Armenia,6.4,5.6,3.3,3,3.1,3.4,3.6,3.7,3.9,4.1,4.3,4.7,5.3,6.1,6.7,7.7,8.7,9.9,10.6,9.1,9.3,9.7,10.4,10.7,11.1,11.5
Azerbaijan,22.3,22.2,17.2,13.2,10.6,9.3,9.5,10,11,11.8,13.1,14.4,16,17.8,19.6,24.8,33.3,41.6,46.1,50.5,52.9,52.9,54.1,57.2,58.4,59
Belarus,30.5,30.2,27.3,25.2,22.2,19.9,20.5,22.8,24.7,25.6,27.1,28.3,29.8,31.9,35.5,38.9,42.7,46.4,51.2,51.3,55.2,58.3,59.3,59.9,61,58.6
Bosnia and Herzegovina,3.4,2.9,2.7,2.6,2.8,3.3,6.3,8.5,9.8,10.7,11.3,11.8,12.4,12.9,13.7,14.9,15.7,16.6,17.5,17,17.2,17.3,17.2,17.6,17.8,18.3
Bulgaria,36.3,33.2,30.8,30.4,30.9,31.8,32.3,31.9,33.1,31.2,32.8,34.2,36.2,38.1,40.6,43.5,46.4,50,52.8,50.6,50.6,51.6,51.6,52,52.7,54.6
Croatia,58,52.3,38.1,35.1,37.1,39.6,41.9,44.7,45.5,45.1,46.8,48.4,50.9,53.8,56,58.3,61.1,64.2,65.6,60.7,59.7,59.5,58.2,57.6,57.4,58.3
Cyprus,12.3,12.4,13.5,13.6,14.4,15.6,15.8,16.3,17.1,17.9,19,19.6,20.3,20.8,21.8,22.6,23.6,24.7,25.7,25.2,25.6,25.6,24.8,23.4,23,23.4
FYR of Macedonia,7.7,7.2,6.7,6.2,6.1,6.1,6.1,6.2,6.4,6.7,7,6.8,6.9,7.1,7.4,7.7,8.1,8.7,9.1,9.1,9.4,9.6,9.6,9.9,10.2,10.6
